GR,DTCO,RES,RHOB
72.58944,161.4066,2.0374,2.072743
73.83058,161.8315,2.014566,2.075957
76.12827,162.4258,1.999525,2.045503
73.6195,162.0566,1.99751,2.032547
70.98288,161.7826,1.966763,2.035791
68.133,161.8958,1.81158,2.060265
68.77051,162.5025,1.775197,2.068463
70.17072,163.3348,1.757165,2.064341
70.12109,163.6809,1.736635,2.058492
72.59609,163.4067,1.713605,2.057069
73.9446,162.4432,1.706427,2.059659
77.77142,161.1752,1.744578,2.065253
76.79642,160.4056,1.821604,2.06476
75.94755,160.2084,1.766777,2.061746
75.03988,160.4111,1.834606,2.057868
75.86488,160.6392,1.917316,2.062191
75.81733,161.5095,1.884995,2.065997
71.4,164.0158,1.826693,2.07234
66.89999,166.6915,1.780154,2.081201
67.94999,168.7324,1.749197,2.066919
69.22147,170.2207,1.768219,2.056534
77.46319,170.2028,1.794782,2.036363
73.86318,169.0444,1.86912,2.053143
72.51358,167.8412,1.888568,2.074794
65.77187,166.7628,1.871844,2.087682
67.11523,165.609,1.810163,2.102448
68.24336,163.9283,1.867462,2.094579
69.89336,162.9593,1.954602,2.093552
71.83636,161.889,1.906432,2.091305
74.45447,161.2193,1.833212,2.093981
72.95447,160.9755,1.988676,2.099418
72.29311,160.8369,1.914249,2.094076
70.71851,160.2332,1.976081,2.094106
72.81165,159.568,2.042873,2.100569
72.51165,159.3936,2.005573,2.10502
74.91813,159.6135,1.979653,2.096537
73.725,160.1796,1.915164,2.08105
74.1,160.9942,2.037185,2.069092
69.3,160.7691,1.934757,2.067805
69.6,159.9631,1.998285,2.075315
67.05,158.9932,1.935454,2.079304
68.25,158.6097,1.990404,2.085253
70.64999,158.7863,2.04664,2.084716
73.35,159.2999,2.03376,2.090863
75.75,159.9482,2.04752,2.091467
71.0217,160.3953,2.034265,2.094056
66.81573,160.7273,2.00044,2.091202
65.0091,161.0083,2.009276,2.100084
67.1874,161.7033,1.999303,2.103347
70.79336,162.2085,1.992378,2.112515
70.425,162.1418,1.986992,2.116541
